Player,Team ,Year,Pos,Salary,Age,Games Played,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Points
Marcin Gortat,WAS,2017,C,"$12,782,609",32,82,0.579,0,0.648,849,121,40,65,118,883
Kenneth Faried,DEN,2017,PF,"$12,921,348",27,61,0.548,0,0.693,461,55,43,40,58,587
Thaddeus Young,IND,2017,PF,"$12,921,348",28,74,0.527,0.381,0.523,449,122,114,30,96,814
Eric Gordon,HOU,2017,SG,"$12,943,020",28,75,0.406,0.372,0.84,201,188,48,40,121,1217
Tyson Chandler,PHO,2017,C,"$13,000,000",34,47,0.671,0,0.734,539,30,33,24,67,397
Michael Kidd-Gilchrist,CHO,2017,SF,"$13,000,000",23,81,0.477,0.111,0.784,565,114,81,77,56,743
Marvin Williams,CHO,2017,PF,"$13,168,750",30,76,0.422,0.35,0.873,498,106,58,53,60,849
Brandon Knight,PHO,2017,SG,"$13,618,750",25,54,0.398,0.324,0.857,118,130,27,5,89,595
Joe Ingles,UTA,2017,SF,"$13,636,364",29,82,0.452,0.441,0.735,260,224,96,8,107,581
James Johnson,MIA,2017,PF,"$13,734,000",29,76,0.479,0.34,0.707,375,276,76,86,171,975
Robin Lopez,CHI,2017,C,"$13,788,500",28,81,0.493,0,0.721,519,80,18,117,90,839
Taj Gibson,TOT,2017,PF,"$14,000,000",31,78,0.515,0.231,0.715,486,73,42,66,105,846
Mason Plumlee,TOT,2017,C,"$14,041,096",26,81,0.536,0,0.58,606,284,69,92,135,842
Khris Middleton,MIL,2017,SF,"$14,100,000",25,29,0.45,0.433,0.88,123,99,41,7,65,426
Ricky Rubio,MIN,2017,PG,"$14,100,000",26,75,0.402,0.306,0.891,305,682,128,10,195,836
Gorgui Dieng,MIN,2017,PF,"$14,112,360",27,82,0.502,0.372,0.814,647,158,88,95,107,816
Eric Bledsoe,PHO,2017,PG,"$14,500,000",27,66,0.434,0.335,0.847,320,418,92,31,223,1390
DeMarre Carroll,TOR,2017,SF,"$14,800,000",30,72,0.401,0.341,0.761,275,74,81,27,54,638
Andre Iguodala,GSW,2017,SF,"$14,814,815",33,76,0.528,0.362,0.706,304,262,76,39,58,574
Jamal Crawford,LAC,2017,SG,"$15,270,762",36,82,0.413,0.36,0.857,129,213,59,14,134,1008
Timofey Mozgov,LAL,2017,C,"$15,280,000",30,54,0.515,0,0.808,264,43,16,31,72,401
Tony Parker,SAS,2017,PG,"$15,453,126",34,63,0.466,0.333,0.726,113,285,33,2,89,638
Jonas Valanciunas,TOR,2017,C,"$15,460,675",24,80,0.557,0.5,0.811,759,57,37,63,106,959
Pau Gasol,SAS,2017,C,"$16,000,000",36,64,0.502,0.538,0.707,501,150,24,70,81,792
Tobias Harris,DET,2017,PF,"$16,000,000",24,82,0.481,0.347,0.841,416,142,60,39,95,1321
Reggie Jackson,DET,2017,PG,"$16,000,000",26,52,0.419,0.359,0.868,113,270,35,5,114,752
Ian Mahinmi,WAS,2017,C,"$16,000,000",30,31,0.586,0,0.573,150,19,33,24,34,173
Draymond Green,GSW,2017,PF,"$16,400,000",26,76,0.418,0.308,0.709,599,533,154,106,184,776
Tristan Thompson,CLE,2017,C,"$16,400,000",25,78,0.6,0,0.498,716,77,39,84,64,630
Robert Covington,PHI,2017,SF,"$16,698,103",26,67,0.399,0.333,0.822,436,102,127,69,131,864
Kent Bazemore,ATL,2017,SF,"$16,910,112",27,73,0.409,0.346,0.708,231,177,91,52,125,801
Bismack Biyombo,ORL,2017,C,"$17,000,000",24,81,0.528,0,0.534,567,74,25,91,95,483
Evan Fournier,ORL,2017,SG,"$17,000,000",24,68,0.439,0.356,0.805,209,202,66,4,141,1167
Goran Dragic,MIA,2017,PG,"$17,000,450",30,73,0.475,0.405,0.79,278,423,89,13,212,1483
Evan Turner,POR,2017,SF,"$17,131,148",28,65,0.426,0.263,0.825,247,205,53,24,100,586
Luol Deng,LAL,2017,SF,"$17,190,000",31,56,0.387,0.309,0.73,295,74,48,20,43,425
Kentavious Caldwell-Pope,DET,2017,SG,"$17,745,894",23,76,0.399,0.35,0.832,248,193,89,12,86,1047
Joakim Noah,NYK,2017,C,"$17,765,000",31,46,0.493,0,0.436,402,103,30,37,58,232
Klay Thompson,GSW,2017,SG,"$17,826,150",26,78,0.468,0.414,0.853,285,160,66,40,128,1742
Dwyane Wade,CHI,2017,SG,"$17,878,652",35,60,0.434,0.31,0.794,271,229,86,41,138,1096
Wesley Matthews,DAL,2017,SG,"$17,884,175",30,73,0.393,0.363,0.816,259,210,77,16,102,986
Enes Kanter,OKC,2017,C,"$17,884,176",24,72,0.545,0.132,0.786,482,67,32,38,123,1033
DeMarcus Cousins,TOT,2017,C,"$18,063,850",26,72,0.452,0.36,0.772,797,332,100,92,269,1942
John Wall,WAS,2017,PG,"$18,063,850",26,78,0.451,0.327,0.801,326,831,157,49,323,1805
Allen Crabbe,POR,2017,SG,"$18,500,000",24,79,0.468,0.444,0.847,225,93,54,20,62,845
Jimmy Butler,CHI,2017,SF,"$18,696,918",27,76,0.455,0.367,0.865,470,417,143,32,159,1816
Kawhi Leonard,SAS,2017,SF,"$18,868,625",25,74,0.485,0.381,0.88,430,260,132,55,154,1888
Kyrie Irving,CLE,2017,PG,"$18,868,626",24,72,0.473,0.401,0.905,230,418,83,25,180,1816
Jeff Teague,IND,2017,PG,"$19,000,000",28,82,0.442,0.357,0.867,331,639,100,32,216,1254
Paul George,IND,2017,SF,"$19,300,000",26,75,0.461,0.393,0.898,492,251,117,27,218,1775
Ryan Anderson,HOU,2017,PF,"$19,578,455",28,72,0.418,0.403,0.86,330,68,32,14,55,979
George Hill,UTA,2017,PG,"$20,000,000",30,49,0.477,0.403,0.801,167,203,50,11,85,829
Serge Ibaka,TOT,2017,PF,"$20,061,729",27,79,0.48,0.391,0.856,538,75,41,124,105,1173
Danilo Gallinari,DEN,2017,SF,"$20,559,599",28,63,0.447,0.389,0.902,326,135,40,15,81,1145
Victor Oladipo,OKC,2017,SG,"$21,000,000",24,67,0.442,0.361,0.753,291,176,78,21,119,1067
Rudy Gobert,UTA,2017,C,"$21,224,719",24,81,0.662,0,0.653,1035,97,49,214,148,1137
Greg Monroe,MIL,2017,C,"$21,384,175",26,81,0.533,0,0.741,532,187,92,38,140,951
LaMarcus Aldridge,SAS,2017,PF,"$21,461,010",31,72,0.477,0.411,0.812,524,139,46,89,98,1243
Nicolas Batum,CHO,2017,SG,"$22,434,783",28,77,0.403,0.333,0.856,481,455,86,29,194,1164
Steven Adams,OKC,2017,C,"$22,471,911",23,80,0.571,0,0.611,615,86,88,78,146,905
Giannis Antetokounmpo,MIL,2017,SF,"$22,471,911",22,80,0.521,0.272,0.77,700,434,131,151,234,1832
Marc Gasol,MEM,2017,C,"$22,642,350",32,74,0.459,0.388,0.837,462,338,67,99,166,1446
DeAndre Jordan,LAC,2017,C,"$22,642,350",28,81,0.714,0,0.482,1114,96,52,135,116,1029
Brook Lopez,BRK,2017,C,"$22,642,350",28,75,0.474,0.346,0.81,403,176,38,124,184,1539
Kevin Love,CLE,2017,PF,"$22,642,350",28,60,0.427,0.373,0.871,666,116,53,22,122,1142
Harrison Barnes,DAL,2017,PF,"$23,112,004",24,79,0.468,0.351,0.861,397,117,66,15,102,1518
Chandler Parsons,MEM,2017,SF,"$23,112,004",28,34,0.338,0.269,0.814,84,55,20,5,24,210
Dwight Howard,ATL,2017,C,"$23,500,000",31,74,0.633,0,0.533,940,104,64,92,170,1002
Bradley Beal,WAS,2017,SG,"$23,775,506",23,77,0.482,0.404,0.825,239,267,83,21,157,1779
Anthony Davis,NOP,2017,C,"$23,775,506",23,75,0.504,0.299,0.802,886,157,94,167,181,2099
Andre Drummond,DET,2017,C,"$23,775,506",23,81,0.53,0.286,0.386,1116,89,124,89,152,1105
Hassan Whiteside,MIA,2017,C,"$23,775,506",27,77,0.557,0,0.628,1088,57,56,161,154,1309
Chris Paul,LAC,2017,PG,"$24,268,959",31,61,0.476,0.411,0.892,304,563,118,8,147,1104
Otto Porter,WAS,2017,SF,"$24,773,250",23,80,0.516,0.434,0.832,515,121,116,41,43,1075
Kevin Durant,GSW,2017,SF,"$25,000,000",28,62,0.537,0.375,0.875,513,300,66,99,138,1555
Jrue Holiday,NOP,2017,PG,"$25,686,667",26,67,0.453,0.356,0.708,264,488,100,43,194,1029
Damian Lillard,POR,2017,PG,"$26,153,057",26,75,0.444,0.37,0.895,368,439,68,20,197,2024
Carmelo Anthony,NYK,2017,SF,"$26,243,760",32,74,0.433,0.359,0.833,436,213,60,34,153,1659
Al Horford,BOS,2017,C,"$27,734,405",30,68,0.473,0.355,0.8,464,337,52,87,116,952
DeMar DeRozan,TOR,2017,SG,"$27,739,975",27,74,0.467,0.266,0.842,386,290,78,13,180,2020
James Harden,HOU,2017,PG,"$28,299,399",27,81,0.44,0.347,0.847,659,906,120,37,464,2356
Russell Westbrook,OKC,2017,PG,"$28,299,399",28,81,0.425,0.343,0.845,864,840,133,31,438,2558
Mike Conley,MEM,2017,PG,"$28,530,608",29,69,0.46,0.408,0.859,242,433,92,19,156,1415
Kyle Lowry,TOR,2017,PG,"$28,903,704",30,60,0.464,0.412,0.819,288,417,88,19,173,1344
Blake Griffin,LAC,2017,PF,"$29,512,900",27,61,0.493,0.336,0.76,496,300,58,23,142,1316
Gordon Hayward,UTA,2017,SF,"$29,727,900",26,73,0.471,0.398,0.844,393,252,73,20,140,1601
Paul Millsap,ATL,2017,PF,"$30,769,231",31,69,0.442,0.311,0.768,533,252,90,62,158,1246
LeBron James,CLE,2017,SF,"$33,285,709",32,74,0.548,0.363,0.674,640,646,92,44,303,1954
Stephen Curry,GSW,2017,PG,"$34,682,550",28,79,0.468,0.411,0.898,353,523,143,17,239,1999
