Player,Team ,Year,Pos,Salary,Age,Games Played,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Total Rebounds,Assists,Steals,Blocks,Turnovers,Points
Malik Beasley,DEN,2017,SG,"$1,700,640",20,22,0.452,0.321,0.8,17,11,7,0,8,83
Quincy Acy,TOT,2017,PF,"$1,709,538",26,38,0.412,0.411,0.75,115,18,14,15,21,222
Jordan Crawford,NOP,2017,SG,"$1,709,538",28,19,0.482,0.389,0.769,34,57,11,2,25,267
Mike Scott,ATL,2017,PF,"$1,709,538",28,18,0.288,0.148,0.875,37,17,4,3,8,45
Tyler Zeller,BOS,2017,C,"$1,709,538",27,51,0.494,0,0.564,124,42,7,21,20,178
Jerian Grant,CHI,2017,PG,"$1,713,840",24,63,0.425,0.366,0.89,111,120,47,8,44,370
Henry Ellenson,DET,2017,PF,"$1,780,800",20,19,0.359,0.286,0.5,41,7,1,1,14,60
Sam Dekker,HOU,2017,SF,"$1,794,600",22,77,0.473,0.321,0.559,284,76,38,21,41,504
Troy Williams,TOT,2017,SF,"$1,842,176",22,30,0.437,0.29,0.656,69,25,27,10,33,185
Shabazz Muhammad,MIN,2017,SF,"$1,924,755",24,78,0.482,0.336,0.774,220,35,22,6,56,772
Luke Babbitt,MIA,2017,SF,"$1,974,159",27,68,0.402,0.414,0.733,142,36,21,11,25,324
Terry Rozier,BOS,2017,PG,"$1,988,520",22,74,0.367,0.318,0.773,227,131,45,11,47,410
Tim Frazier,NOP,2017,PG,"$2,000,000",26,65,0.403,0.313,0.76,173,335,56,6,101,464
Spencer Hawes,TOT,2017,PF,"$2,007,058",28,54,0.484,0.309,0.846,191,81,15,30,49,337
Juan Hernangomez,DEN,2017,PF,"$2,076,840",21,62,0.451,0.407,0.75,187,29,29,12,31,305
Kelly Oubre,WAS,2017,SF,"$2,093,040",21,79,0.421,0.287,0.758,260,47,58,17,49,501
Omri Casspi,TOT,2017,SF,"$2,106,470",28,36,0.467,0.349,0.586,112,37,23,3,29,186
Michael Beasley,MIL,2017,PF,"$2,116,955",28,56,0.532,0.419,0.743,193,53,28,27,66,528
Aaron Brooks,IND,2017,PG,"$2,116,955",32,65,0.403,0.375,0.8,69,125,25,9,66,322
Jeff Green,ORL,2017,PF,"$2,116,955",30,69,0.394,0.275,0.863,214,81,37,13,75,638
JaVale McGee,GSW,2017,C,"$2,116,955",29,77,0.652,0,0.505,244,17,19,67,40,472
Marreese Speights,LAC,2017,C,"$2,116,955",29,82,0.445,0.372,0.876,373,66,23,41,69,711
Kyle Anderson,SAS,2017,SG,"$2,151,704",23,72,0.445,0.375,0.789,208,91,51,26,39,246
Denzel Valentine,CHI,2017,SG,"$2,186,400",23,57,0.354,0.351,0.778,151,63,30,7,49,291
Cameron Payne,TOT,2017,PG,"$2,203,440",22,31,0.332,0.314,0.625,48,55,14,5,29,160
Monta Ellis,IND,2017,SG,"$2,245,400",31,74,0.443,0.319,0.727,204,236,79,27,135,630
Wade Baldwin,MEM,2017,PG,"$2,254,292",20,33,0.313,0.136,0.838,46,61,18,7,40,106
Dante Cunningham,NOP,2017,SF,"$2,300,000",29,66,0.485,0.392,0.593,277,36,39,28,28,435
Devin Booker,PHO,2017,SG,"$2,319,360",20,78,0.423,0.363,0.832,249,268,72,21,241,1726
Jose Calderon,TOT,2017,PG,"$2,328,652",35,41,0.41,0.313,0.917,74,88,11,1,41,141
Nick Collison,OKC,2017,PF,"$2,328,652",36,20,0.609,0,0.625,30,12,2,2,4,33
Raymond Felton,LAC,2017,PG,"$2,328,652",32,80,0.43,0.319,0.781,217,191,67,22,83,538
Udonis Haslem,MIA,2017,C,"$2,328,652",36,17,0.478,0,0.6,36,6,5,1,8,31
Jarrett Jack,NOP,2017,PG,"$2,328,652",33,2,0.667,0,1,0,5,2,0,3,6
Jason Terry,MIL,2017,SG,"$2,328,652",39,74,0.432,0.427,0.828,106,98,45,20,36,307
David West,GSW,2017,C,"$2,328,652",36,68,0.536,0.375,0.768,203,151,42,48,78,316
Clint Capela,HOU,2017,C,"$2,334,528",22,65,0.643,0,0.531,526,64,34,80,87,818
Rashad Vaughn,MIL,2017,SG,"$2,338,653",20,41,0.365,0.321,0.4,49,23,19,10,14,142
Shabazz Napier,POR,2017,PG,"$2,361,359",25,53,0.399,0.37,0.776,61,67,32,2,41,218
Rodney Hood,UTA,2017,SG,"$2,386,864",24,59,0.408,0.371,0.783,202,96,38,11,65,748
Dario Saric,PHI,2017,PF,"$2,422,560",22,81,0.411,0.311,0.782,513,182,57,30,183,1040
Trey Lyles,UTA,2017,PF,"$2,441,400",21,71,0.362,0.319,0.722,235,70,26,20,64,440
Ronnie Price,PHO,2017,PG,"$2,442,455",33,14,0.167,0.176,0.75,11,18,11,1,3,14
Bruno Caboclo,TOR,2017,SF,"$2,451,224",21,9,0.375,0.333,0,10,4,2,1,2,14
Myles Turner,IND,2017,C,"$2,483,040",20,81,0.511,0.348,0.809,587,106,74,173,105,1173
Georgios Papagiannis,SAC,2017,C,"$2,486,757",19,22,0.549,0,0.857,86,20,3,17,24,124
Reggie Bullock,DET,2017,SF,"$2,500,000",25,31,0.422,0.384,0.714,64,29,18,3,10,141
Malcolm Delaney,ATL,2017,PG,"$2,500,000",27,73,0.374,0.236,0.806,124,193,39,1,95,391
Manu Ginobili,SAS,2017,SG,"$2,500,000",39,69,0.39,0.392,0.804,157,183,82,16,96,517
Derrick Rose,NYK,2017,PG,"$2,533,488",28,64,0.471,0.217,0.874,246,283,44,17,147,1154
Domantas Sabonis,OKC,2017,PF,"$2,550,000",20,81,0.399,0.321,0.657,287,82,39,32,83,479
Gary Harris,DEN,2017,SG,"$2,550,055",22,57,0.502,0.42,0.776,178,164,71,8,76,851
Michael Carter-Williams,CHI,2017,PG,"$2,700,000",25,45,0.366,0.234,0.753,152,113,38,23,66,297
Justise Winslow,MIA,2017,SF,"$2,705,040",20,18,0.356,0.2,0.617,94,66,27,6,33,196
Jakob Poeltl,TOR,2017,C,"$2,825,640",21,54,0.583,0,0.544,165,12,17,20,29,165
Andrew Nicholson,TOT,2017,PF,"$2,844,429",27,38,0.387,0.185,0.643,61,10,16,6,17,100
Frank Kaminsky,CHO,2017,C,"$2,847,600",23,75,0.399,0.328,0.756,336,162,47,34,76,874
Lucas Nogueira,TOR,2017,C,"$2,947,304",24,57,0.66,0.25,0.657,243,42,52,90,46,253
Jusuf Nurkic,TOT,2017,C,"$2,947,304",22,65,0.507,0,0.571,467,123,50,74,143,662
Ramon Sessions,CHO,2017,PG,"$2,986,463",30,50,0.38,0.339,0.771,73,129,26,3,46,312
Tomas Satoransky,WAS,2017,SG,"$3,000,000",25,57,0.418,0.243,0.697,83,92,26,6,38,154
Seth Curry,DAL,2017,PG,"$3,028,410",26,70,0.481,0.425,0.85,178,188,79,7,92,898
James Ennis,MEM,2017,SF,"$3,028,410",26,64,0.455,0.372,0.782,259,64,46,19,59,429
Mindaugas Kuzminskas,NYK,2017,SF,"$3,028,410",27,68,0.428,0.321,0.809,126,69,29,11,51,425
Marquese Chriss,PHO,2017,PF,"$3,073,800",19,82,0.449,0.321,0.624,348,60,67,70,108,753
Thon Maker,MIL,2017,C,"$3,086,784",19,57,0.459,0.378,0.653,114,23,10,26,17,226
Stanley Johnson,DET,2017,SF,"$3,097,800",20,77,0.353,0.292,0.679,189,105,56,24,71,339
Zach LaVine,MIN,2017,SG,"$3,202,217",21,47,0.459,0.387,0.836,159,139,41,10,85,889
Tarik Black,LAL,2017,C,"$3,290,000",25,67,0.51,0.5,0.752,342,39,30,44,58,383
Tyreke Evans,TOT,2017,SF,"$3,290,000",27,40,0.405,0.356,0.75,137,124,35,9,61,411
Jodie Meeks,ORL,2017,SG,"$3,290,000",29,36,0.402,0.409,0.878,77,45,34,4,36,327
Doug McDermott,TOT,2017,SF,"$3,294,994",25,66,0.447,0.372,0.845,179,58,13,5,38,592
Elfrid Payton,ORL,2017,PG,"$3,332,340",22,82,0.471,0.274,0.692,387,529,88,40,178,1046
Jamal Murray,DEN,2017,SG,"$3,355,320",19,82,0.404,0.334,0.883,214,170,52,24,113,811
Emmanuel Mudiay,DEN,2017,PG,"$3,381,480",20,55,0.377,0.315,0.784,178,217,41,13,123,603
Troy Daniels,MEM,2017,SG,"$3,408,520",25,67,0.374,0.389,0.796,100,46,21,4,45,551
Zaza Pachulia,GSW,2017,C,"$3,477,600",32,70,0.534,0,0.778,410,132,59,33,88,426
Lavoy Allen,IND,2017,PF,"$3,500,000",27,61,0.458,0,0.697,220,57,18,24,29,177
Will Barton,DEN,2017,SG,"$3,533,333",26,60,0.443,0.37,0.753,258,206,48,28,97,820
Buddy Hield,TOT,2017,SG,"$3,675,480",23,82,0.426,0.391,0.842,269,121,38,9,101,866
Paul Pierce,LAC,2017,SF,"$3,679,840",39,25,0.4,0.349,0.769,48,10,4,5,16,81
Willie Cauley-Stein,SAC,2017,C,"$3,704,160",23,75,0.53,0,0.669,340,80,53,45,69,611
Nik Stauskas,PHI,2017,SG,"$3,807,146",23,80,0.396,0.368,0.813,226,188,45,32,128,756
Nemanja Bjelica,MIN,2017,PF,"$3,950,000",28,65,0.424,0.316,0.738,244,79,40,20,59,403
Jonas Jerebko,BOS,2017,PF,"$4,000,000",29,78,0.435,0.346,0.703,273,71,26,17,39,299
Noah Vonleh,POR,2017,PF,"$4,031,018",21,74,0.481,0.35,0.638,387,31,30,27,64,327
Kris Dunn,MIN,2017,PG,"$4,046,760",22,78,0.377,0.288,0.61,166,188,78,36,89,293
Mario Hezonja,ORL,2017,SF,"$4,078,320",21,65,0.355,0.299,0.8,146,62,30,14,58,317
Kyle O'Quinn,NYK,2017,C,"$4,087,500",26,79,0.521,0.118,0.771,439,117,36,104,76,496
Julius Randle,LAL,2017,PF,"$4,149,242",22,74,0.488,0.27,0.723,636,264,49,37,173,975
Lance Stephenson,TOT,2017,SG,"$4,180,000",26,18,0.45,0.3,0.615,52,59,5,3,26,122
Alex Len,PHO,2017,C,"$4,187,599",23,77,0.497,0.25,0.721,510,44,37,98,102,613
Nerlens Noel,TOT,2017,C,"$4,187,599",22,51,0.595,0,0.694,294,50,65,51,51,445
Aron Baynes,DET,2017,C,"$4,300,000",30,75,0.513,0,0.84,333,32,17,39,50,365
Ron Baker,NYK,2017,SG,"$4,328,000",23,52,0.378,0.267,0.651,98,107,34,8,56,215
Devin Harris,DAL,2017,PG,"$4,402,546",33,65,0.399,0.328,0.829,127,136,43,7,57,437
Dragan Bender,PHO,2017,PF,"$4,468,800",19,43,0.354,0.277,0.364,103,23,10,22,32,146
Justin Holiday,NYK,2017,SG,"$4,500,000",27,82,0.433,0.355,0.825,225,102,65,31,66,629
Kristaps Porzingis,NYK,2017,PF,"$4,503,600",21,66,0.45,0.357,0.786,475,97,47,130,118,1196
Marcus Smart,BOS,2017,SG,"$4,538,019",22,79,0.359,0.283,0.812,306,364,125,34,159,835
Kyle Singler,OKC,2017,SF,"$4,666,500",28,32,0.41,0.189,0.765,48,9,7,5,11,88
Sean Kilpatrick,BRK,2017,SG,"$4,774,445",27,70,0.415,0.341,0.843,280,157,46,6,136,919
Richard Jefferson,CLE,2017,SF,"$4,828,652",36,79,0.446,0.333,0.741,202,78,26,10,52,448
Jaylen Brown,BOS,2017,SF,"$4,956,480",20,78,0.454,0.341,0.685,220,64,35,18,68,515
Alexis Ajinca,NOP,2017,C,"$4,961,798",28,39,0.5,0,0.725,177,12,20,22,31,207
Dante Exum,UTA,2017,PG,"$4,992,385",21,66,0.427,0.295,0.795,132,112,21,12,80,412
Jahlil Okafor,PHI,2017,C,"$4,995,120",21,50,0.514,0,0.671,240,58,20,49,91,590
Marcus Morris,DET,2017,SF,"$5,000,000",27,79,0.418,0.331,0.784,366,160,52,25,87,1105
Mike Muscala,ATL,2017,C,"$5,000,000",25,70,0.504,0.418,0.766,240,95,30,41,55,435
Dirk Nowitzki,DAL,2017,PF,"$5,000,000",38,54,0.437,0.378,0.875,353,82,30,38,51,769
Larry Sanders,CLE,2017,C,"$5,000,000",28,5,0.25,0,1,4,0,1,1,2,4
Patrick Patterson,TOR,2017,PF,"$5,192,000",27,65,0.401,0.372,0.717,291,76,40,23,38,445
Nick Young,LAL,2017,SG,"$5,192,000",31,60,0.43,0.404,0.856,137,58,37,14,36,791
Ben McLemore,SAC,2017,SG,"$5,200,000",23,61,0.43,0.382,0.753,130,51,29,6,62,495
Jason Smith,WAS,2017,C,"$5,225,000",30,74,0.529,0.474,0.686,258,37,21,55,58,420
Thabo Sefolosha,ATL,2017,SF,"$5,250,000",32,62,0.441,0.342,0.733,270,107,96,31,58,444
Anthony Tolliver,SAC,2017,PF,"$5,290,000",31,65,0.442,0.391,0.744,239,77,33,20,56,461
Arron Afflalo,SAC,2017,SG,"$5,328,652",31,61,0.44,0.411,0.892,125,78,21,7,42,515
Deron Williams,TOT,2017,PG,"$5,474,787",32,64,0.438,0.363,0.826,147,360,31,8,138,701
Aaron Gordon,ORL,2017,SF,"$5,504,419",21,80,0.454,0.288,0.719,405,150,64,40,89,1019
Patrick Beverley,HOU,2017,SG,"$5,513,514",28,67,0.42,0.382,0.768,394,281,99,25,100,639
Brandon Ingram,LAL,2017,SF,"$5,519,400",19,79,0.402,0.294,0.621,317,166,50,36,116,740
D'Angelo Russell,LAL,2017,PG,"$5,562,360",20,63,0.405,0.352,0.782,222,303,87,16,176,984
Alex Abrines,OKC,2017,SG,"$5,725,000",23,68,0.393,0.381,0.898,86,40,37,8,33,406
Tyler Johnson,MIA,2017,PG,"$5,821,260",24,73,0.433,0.372,0.768,293,233,84,44,90,1002
Wesley Johnson,LAC,2017,SF,"$5,881,260",29,68,0.365,0.246,0.647,181,23,29,30,18,186
Boban Marjanovic,DET,2017,C,"$5,881,260",28,35,0.545,0,0.81,130,9,6,12,10,191
Brandan Wright,MEM,2017,PF,"$5,955,760",29,28,0.615,0,0.657,78,15,11,20,10,189
Shelvin Mack,UTA,2017,PG,"$6,000,000",26,55,0.446,0.308,0.688,128,154,42,3,90,430
Alan Williams,PHO,2017,C,"$6,000,000",24,47,0.517,0,0.625,292,23,27,32,37,346
Josh McRoberts,MIA,2017,PF,"$6,021,175",29,22,0.373,0.419,0.667,74,50,10,4,23,107
Joel Embiid,PHI,2017,C,"$6,100,266",22,31,0.466,0.367,0.783,243,66,27,76,117,627
Karl-Anthony Towns,MIN,2017,C,"$6,216,840",21,82,0.542,0.367,0.832,1007,220,57,103,212,2061
Isaiah Thomas,BOS,2017,PG,"$6,261,394",27,76,0.463,0.379,0.909,205,449,70,13,210,2199
Wayne Ellington,MIA,2017,SG,"$6,270,000",29,62,0.416,0.378,0.86,133,70,35,4,30,648
Rajon Rondo,CHI,2017,PG,"$6,300,000",30,69,0.408,0.376,0.6,355,461,99,11,168,538
Jonathon Simmons,SAS,2017,SG,"$6,300,000",27,78,0.42,0.294,0.75,160,126,47,25,76,483
Ed Davis,POR,2017,PF,"$6,352,531",27,46,0.528,0,0.617,243,27,15,22,37,200
Matt Barnes,TOT,2017,SF,"$6,400,625",36,74,0.391,0.331,0.787,387,194,48,26,107,527
Ersan Ilyasova,TOT,2017,PF,"$6,514,288",29,82,0.431,0.353,0.778,481,141,58,23,116,1071
Lance Thomas,NYK,2017,PF,"$6,655,325",28,46,0.398,0.447,0.843,142,35,21,5,25,275
Langston Galloway,TOT,2017,PG,"$6,666,667",25,74,0.38,0.39,0.797,156,93,46,6,46,585
Jabari Parker,MIL,2017,PF,"$6,782,392",21,51,0.49,0.365,0.743,314,142,51,22,92,1025
Jae Crowder,BOS,2017,SF,"$6,796,117",26,72,0.463,0.398,0.811,415,155,72,23,79,999
Dewayne Dedmon,SAS,2017,C,"$6,900,000",27,76,0.622,0,0.699,495,44,37,61,61,387
Jameer Nelson,DEN,2017,PG,"$6,998,920",34,75,0.444,0.388,0.714,192,385,53,8,129,687
